Td    ID    Tj    Df    Dd    Db
484   2833  167   11    306   317
484   323   65    0     419   419
484   308   62    0     422   422
485   2986  198   34    253   287
485   319   64    0     421   421
485   318   64    0     421   421
485   307   62    0     423   423
487   2863  173   39    275   314
487   2303  61    9     417   426
488   474   95    0     393   393
488   404   81    0     407   407
488   216   44    0     444   444
488   598   120   0     368   368
488   2490  98    8     382   390
488   311   63    0     425   425
489   310   62    0     427   427
489   314   63    0     426   426
490   292   59    0     431   431
490   2634  127   9     354   363
490   2954  191   30    269   299
491   2378  76    14    401   415
492   2575  115   3     374   377
492   306   62    416   14    430
492   305   61    0     431   431
493   281   57    0     436   436
494   360   72    0     422   422
494   2541  109   8     377   385
494   304   61    0     433   433
495   732   147   0     348   348
495   302   61    0     434   434
496   2919  184   31    281   312
496   2576  116   6     374   380
496   2453  91    24    381   405
497   303   61    0     436   436
498   2641  129   48    321   369
498   301   61    422   15    437
498   298   60    0     438   438
499   2892  179   50    270   320
499   2758  152   62    285   347
499   297   60    0     439   439
500   2877  176   72    252   324
501   2373  75    38    388   426
501   286   58    0     443   443
502   2837  168   6     328   334
502   2470  94    29    379   408
502   2929  186   53    263   316
502   2733  147   36    319   355
502   299   60    0     442   442
502   296   60    427   15    442
503   94    19    0     484   484
503   2477  96    7     400   407
503   2361  73    6     424   430
503   284   57    0     446   446
504   2966  194   59    251   310
504   291   59    0     445   445
504   282   57    0     447   447
505   209   42    0     463   463
505   602   121   0     384   384
505   2905  181   13    311   324
506   2570  114   41    351   392
506   271   55    0     451   451
507   2806  162   19    326   345
507   2867  174   88    245   333
507   275   55    0     452   452
508   2901  181   2     325   327
508   2960  192   34    282   316
508   280   56    0     452   452
508   276   56    0     452   452
510   243   49    0     461   461
510   2481  97    16    397   413
511   159   32    0     479   479
511   132   27    0     484   484
511   267   54    0     457   457
511   266   54    0     457   457
511   272   55    0     456   456
512   313   63    0     449   449
512   273   55    0     457   457
513   480   96    0     417   417
513   2588  118   0     395   395
513   264   53    0     460   460
513   265   53    0     460   460
514   538   108   0     406   406
514   2586  118   0     396   396
515   268   54    0     461   461
516   261   53    0     463   463
517   2829  166   1     350   351
517   263   53    0     464   464
517   260   52    0     465   465
518   248   50    0     468   468
518   246   50    0     468   468
518   258   52    0     466   466
519   386   78    0     441   441
519   67    14    0     505   505
519   806   162   0     357   357
519   1     1     0     518   518
520   2795  159   64    297   361
521   254   51    0     470   470
521   245   49    0     472   472
521   250   50    0     471   471
522   2674  135   9     378   387
522   2948  190   4     328   332
523   215   43    0     480   480
523   2348  70    15    438   453
523   242   49    0     474   474
524   2717  144   15    365   380
524   2999  200   7     317   324
524   2979  196   39    289   328
524   241   49    0     475   475
524   240   48    0     476   476
525   899   180   0     345   345
525   315   63    0     462   462
525   976   196   0     329   329
525   238   48    0     477   477
526   616   124   0     402   402
526   767   154   0     372   372
526   845   169   0     357   357
526   634   127   0     399   399
526   934   187   0     339   339
526   772   155   1     370   371
526   2543  109   9     408   417
526   2805  161   4     361   365
527   2683  137   20    370   390
527   236   48    0     479   479
527   229   46    0     481   481
528   739   148   0     380   380
528   886   178   0     350   350
528   463   93    0     435   435
528   2608  122   18    388   406
529   2868  174   82    273   355
529   2989  198   1     330   331
529   231   47    0     482   482
530   861   173   0     357   357
530   30    6     0     524   524
530   2421  85    18    427   445
530   232   47    0     483   483
530   233   47    0     483   483
531   2662  133   3     395   398
531   2617  124   148   259   407
531   228   46    0     485   485
532   2871  175   23    334   357
533   59    12    0     521   521
533   593   119   0     414   414
533   294   59    0     474   474
533   121   25    0     508   508
533   742   149   0     384   384
533   230   46    0     487   487
534   644   129   0     405   405
534   523   105   0     429   429
534   2529  106   31    397   428
534   2412  83    48    403   451
534   2920  184   17    333   350
534   2523  105   30    399   429
534   213   43    0     491   491
534   223   45    0     489   489
535   2533  107   103   325   428
535   227   46    473   16    489
536   189   38    0     498   498
536   2475  95    26    415   441
536   214   43    0     493   493
538   2643  129   12    397   409
538   2889  178   33    327   360
538   219   44    0     494   494
539   200   40    0     499   499
539   224   45    0     494   494
539   7     2     0     537   537
539   2947  190   64    285   349
539   211   43    0     496   496
540   2791  159   36    345   381
540   205   41    0     499   499
540   204   41    0     499   499
540   208   42    0     498   498
541   2735  147   24    370   394
541   2621  125   49    367   416
542   2546  110   1     431   432
542   203   41    0     501   501
544   210   42    0     502   502
545   862   173   0     372   372
545   53    11    0     534   534
545   181   37    0     508   508
545   39    8     0     537   537
545   199   40    0     505   505
546   755   151   0     395   395
546   2911  183   81    282   363
546   202   41    489   16    505
546   198   40    0     506   506
547   2997  200   31    316   347
547   2734  147   10    390   400
547   191   39    0     508   508
548   178   36    0     512   512
548   221   45    0     503   503
548   2927  186   6     356   362
548   2923  185   34    329   363
548   186   38    0     510   510
549   2483  97    14    438   452
549   196   40    0     509   509
550   2548  110   16    424   440
550   187   38    0     512   512
552   584   117   0     435   435
552   534   107   0     445   445
552   47    10    0     542   542
552   817   164   0     388   388
552   919   184   0     368   368
552   190   38    0     514   514
553   579   116   0     437   437
553   970   194   0     359   359
553   491   99    0     454   454
553   2461  93    21    439   460
553   2467  94    17    442   459
553   2708  142   0     411   411
553   188   38    0     515   515
554   2465  93    0     461   461
554   2233  47    3     504   507
554   182   37    0     517   517
554   183   37    0     517   517
554   179   36    0     518   518
556   2890  178   4     374   378
556   172   35    0     521   521
557   2506  102   38    417   455
557   185   37    0     520   520
558   599   120   0     438   438
558   793   159   0     399   399
558   2902  181   6     371   377
558   175   35    0     523   523
558   170   34    0     524   524
558   173   35    0     523   523
559   288   58    0     501   501
559   217   44    0     515   515
559   251   51    0     508   508
559   149   30    0     529   529
559   492   99    0     460   460
559   432   87    0     472   472
559   23    5     0     554   554
560   2741  149   8     403   411
561   164   33    0     528   528
562   365   73    0     489   489
562   835   167   0     395   395
562   421   85    0     477   477
562   168   34    0     528   528
563   36    8     0     555   555
563   163   33    0     530   530
563   166   34    0     529   529
564   126   26    0     538   538
564   2759  152   6     406   412
564   2751  151   30    383   413
565   2549  110   82    373   455
565   160   32    0     533   533
566   2976  196   16    354   370
566   165   33    0     533   533
567   916   184   0     383   383
